  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 6.00000E-01  vis= 1.30000E-05  sp_ht= 2.00300E+03
     prc(je)=    1.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 1.783E+01 1.237E-02 2.590E+00 1.784E+01  1.237E-02

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    45 2.763E-05 5.118E-01 1.028E-01 3.412E-02 3.412E-02  0.000E+00
    46 3.017E-05 5.590E-01 1.123E-01 3.726E-02 3.726E-02  0.000E+00
    47 3.295E-05 6.103E-01 1.226E-01 4.069E-02 4.069E-02  0.000E+00
    48 3.597E-05 6.663E-01 1.338E-01 4.442E-02 4.442E-02  0.000E+00
    49 3.926E-05 7.273E-01 1.461E-01 4.849E-02 4.849E-02  0.000E+00
    50 4.285E-05 7.938E-01 1.595E-01 5.292E-02 5.292E-02  0.000E+00
    51 4.677E-05 8.663E-01 1.740E-01 5.776E-02 5.776E-02  0.000E+00
    52 5.103E-05 9.454E-01 1.899E-01 6.302E-02 6.302E-02  0.000E+00
    53 5.568E-05 1.031E+00 2.072E-01 6.877E-02 6.877E-02  0.000E+00
    54 6.075E-05 1.125E+00 2.261E-01 7.502E-02 7.502E-02  0.000E+00
    55 6.628E-05 1.228E+00 2.466E-01 8.185E-02 8.184E-02  0.000E+00
    56 7.230E-05 1.339E+00 2.690E-01 8.928E-02 8.928E-02  0.000E+00
    57 7.886E-05 1.461E+00 2.934E-01 9.738E-02 9.738E-02  0.000E+00
    58 8.602E-05 1.593E+00 3.201E-01 1.062E-01 1.062E-01  0.000E+00
    59 9.381E-05 1.737E+00 3.491E-01 1.158E-01 1.158E-01  0.000E+00
    60 1.023E-04 1.895E+00 3.807E-01 1.263E-01 1.263E-01  0.000E+00
    61 1.116E-04 2.066E+00 4.152E-01 1.377E-01 1.377E-01  0.000E+00
    62 1.217E-04 2.253E+00 4.528E-01 1.502E-01 1.502E-01  0.000E+00
    63 1.327E-04 2.456E+00 4.937E-01 1.637E-01 1.637E-01  0.000E+00
    64 1.447E-04 2.677E+00 5.383E-01 1.785E-01 1.785E-01  0.000E+00
    65 1.577E-04 2.918E+00 5.870E-01 1.946E-01 1.946E-01  0.000E+00
    66 1.720E-04 3.181E+00 6.400E-01 2.120E-01 2.120E-01  0.000E+00
    67 1.875E-04 3.466E+00 6.978E-01 2.311E-01 2.311E-01  0.000E+00
    68 2.044E-04 3.776E+00 7.607E-01 2.517E-01 2.517E-01  0.000E+00
    69 2.229E-04 4.113E+00 8.293E-01 2.742E-01 2.742E-01  0.000E+00
    70 2.430E-04 4.478E+00 9.041E-01 2.985E-01 2.985E-01  0.000E+00
    71 2.648E-04 4.874E+00 9.855E-01 3.249E-01 3.249E-01  0.000E+00
    72 2.887E-04 5.303E+00 1.074E+00 3.535E-01 3.535E-01  0.000E+00
    73 3.146E-04 5.765E+00 1.171E+00 3.843E-01 3.843E-01  0.000E+00
    74 3.429E-04 6.263E+00 1.276E+00 4.175E-01 4.175E-01  0.000E+00
    75 3.736E-04 6.796E+00 1.390E+00 4.531E-01 4.531E-01  0.000E+00
    76 4.071E-04 7.366E+00 1.515E+00 4.911E-01 4.911E-01  0.000E+00
    77 4.435E-04 7.970E+00 1.650E+00 5.313E-01 5.313E-01  0.000E+00
    78 4.821E-04 8.592E+00 1.794E+00 5.728E-01 5.728E-01  0.000E+00
    79 5.214E-04 9.202E+00 1.940E+00 6.135E-01 6.135E-01  0.000E+00
    80 5.606E-04 9.783E+00 2.086E+00 6.522E-01 6.522E-01  0.000E+00
    81 5.996E-04 1.033E+01 2.231E+00 6.888E-01 6.888E-01  0.000E+00
    82 6.384E-04 1.085E+01 2.376E+00 7.232E-01 7.232E-01  0.000E+00
    83 6.770E-04 1.133E+01 2.519E+00 7.552E-01 7.552E-01  0.000E+00
    84 7.154E-04 1.177E+01 2.662E+00 7.848E-01 7.848E-01  0.000E+00
    85 7.535E-04 1.218E+01 2.804E+00 8.120E-01 8.119E-01  0.000E+00
    86 7.913E-04 1.255E+01 2.944E+00 8.367E-01 8.367E-01  0.000E+00
    87 8.289E-04 1.289E+01 3.084E+00 8.590E-01 8.590E-01  0.000E+00
    88 8.662E-04 1.319E+01 3.223E+00 8.791E-01 8.791E-01  0.000E+00
    89 9.033E-04 1.345E+01 3.361E+00 8.969E-01 8.969E-01  0.000E+00
    90 9.401E-04 1.369E+01 3.498E+00 9.127E-01 9.127E-01  0.000E+00
    91 9.767E-04 1.390E+01 3.634E+00 9.265E-01 9.265E-01  0.000E+00
    92 1.013E-03 1.408E+01 3.770E+00 9.385E-01 9.385E-01  0.000E+00
    93 1.049E-03 1.423E+01 3.904E+00 9.489E-01 9.489E-01  0.000E+00
    94 1.085E-03 1.437E+01 4.038E+00 9.578E-01 9.578E-01  0.000E+00
    95 1.121E-03 1.448E+01 4.171E+00 9.654E-01 9.654E-01  0.000E+00
    96 1.157E-03 1.458E+01 4.304E+00 9.718E-01 9.718E-01  0.000E+00
    97 1.192E-03 1.466E+01 4.436E+00 9.772E-01 9.772E-01  0.000E+00
    98 1.227E-03 1.472E+01 4.568E+00 9.816E-01 9.816E-01  0.000E+00
    99 1.263E-03 1.478E+01 4.699E+00 9.853E-01 9.853E-01  0.000E+00
   100 1.298E-03 1.483E+01 4.830E+00 9.884E-01 9.884E-01  0.000E+00
   101 1.333E-03 1.486E+01 4.960E+00 9.908E-01 9.908E-01  0.000E+00
   102 1.368E-03 1.489E+01 5.091E+00 9.928E-01 9.928E-01  0.000E+00
   103 1.403E-03 1.492E+01 5.221E+00 9.944E-01 9.944E-01  0.000E+00
   104 1.438E-03 1.494E+01 5.351E+00 9.957E-01 9.957E-01  0.000E+00
   105 1.473E-03 1.495E+01 5.480E+00 9.967E-01 9.967E-01  0.000E+00
   106 1.508E-03 1.496E+01 5.610E+00 9.975E-01 9.975E-01  0.000E+00
   107 1.543E-03 1.497E+01 5.740E+00 9.981E-01 9.981E-01  0.000E+00
